"exptDate","cellLine","Well","Cell.Nucleus","conc","resp.ratio"
"2012-03-20","DS7","C09",32796,2e-12,1.08288551546519
"2012-03-20","DS7","C10",32813,2e-13,1.08344683555798
"2012-03-20","DS7","C11",31792,0,1.04973461116202
"2012-03-20","DS7","D03",13066,2e-06,0.431424019547147
"2012-03-20","DS7","D04",13450,2e-07,0.444103249878243
"2012-03-20","DS7","D05",25716,2e-08,0.849112206235606
"2012-03-20","DS7","D06",33370,2e-09,1.10183832330386
"2012-03-20","DS7","D07",34060,2e-10,1.12462131530505
"2012-03-20","DS7","D08",31948,2e-11,1.05488554848402
"2012-03-20","DS7","D09",33365,2e-12,1.10167322915893
"2012-03-20","DS7","D10",32716,2e-13,1.08024400914622
"2012-03-20","DS7","D11",31490,0,1.03976292480787
"2012-03-20","par","E03",15279,2e-06,0.583808568562831
"2012-03-20","par","E04",17045,2e-07,0.651287194918088
"2012-03-20","par","E05",32248,2e-08,1.23219181353585
"2012-03-20","par","E06",29711,2e-09,1.13525337918517
"2012-03-20","par","E07",29660,2e-10,1.13330467593256
"2012-03-20","par","E08",30021,2e-11,1.14709843817166
"2012-03-20","par","E09",31384,2e-12,1.19917848784449
"2012-03-20","par","E10",29022,2e-13,1.10892678034102
"2012-03-20","par","E11",28912,0,1.10472369489421
"2012-03-20","par","F03",14097,2e-06,0.538644504943402
"2012-03-20","par","F04",15562,2e-07,0.59462196112146
"2012-03-20","par","F05",29202,2e-08,1.11580455652672
"2012-03-20","par","F06",30210,2e-09,1.15432010316664
"2012-03-20","par","F07",28797,2e-10,1.1003295601089
"2012-03-20","par","F08",31060,2e-11,1.18679849071023
"2012-03-20","par","F09",29731,2e-12,1.13601757653914
"2012-03-20","par","F10",29330,2e-13,1.12069541959211
"2012-03-20","par","F11",28613,0,1.0932989444524
"2012-03-20","par","G03",13495,2e-06,0.515642164589005
"2012-03-20","par","G04",13882,2e-07,0.53042938338826
"2012-03-20","par","G05",27141,2e-08,1.03705401920046
"2012-03-20","par","G06",28093,2e-09,1.07342981324927
"2012-03-20","par","G07",27793,2e-10,1.06196685293977
"2012-03-20","par","G08",26529,2e-11,1.01366958016908
"2012-03-20","par","G09",27988,2e-12,1.06941777714095
"2012-03-20","par","G10",26985,2e-13,1.03109327983952
"2012-03-20","par","G11",26712,0,1.02066198595787
"2012-03-20","par","H03",9764,2e-06,0.373081148206524
"2012-03-20","par","H04",11357,2e-07,0.433949467449969
"2012-03-20","par","H05",19784,2e-08,0.755944022543822
"2012-03-20","par","H06",21922,2e-09,0.837636719682858
"2012-03-20","par","H07",22382,2e-10,0.855213258824091
"2012-03-20","par","H08",21390,2e-11,0.817309070067345
"2012-03-20","par","H09",20444,2e-12,0.781162535224722
"2012-03-20","par","H10",23099,2e-13,0.882609733963796
"2012-03-20","par","H11",20448,0,0.781315374695515
"2012-03-24","DS1","A03",16537,2e-06,0.353643736600961
"2012-03-24","DS1","A04",17805,2e-07,0.380759915956952
"2012-03-24","DS1","A05",23777,2e-08,0.508471132923811
"2012-03-24","DS1","A06",43844,2e-09,0.937603917731907
"2012-03-24","DS1","A07",45011,2e-10,0.962560212139195
"2012-03-24","DS1","A08",45855,2e-11,0.980609151710533
"2012-03-24","DS1","A09",45012,2e-12,0.962581597138687
"2012-03-24","DS1","A10",44597,2e-13,0.953706822349463
"2012-03-24","DS1","A11",45888,0,0.981314856693772
"2012-03-24","DS1","B03",16307,2e-06,0.348725186717777
"2012-03-24","DS1","B04",17170,2e-07,0.367180441279465
"2012-03-24","DS1","B05",23887,2e-08,0.510823482867942
"2012-03-24","DS1","B06",44720,2e-09,0.956337177286992
"2012-03-24","DS1","B07",43799,2e-10,0.936641592754762
"2012-03-24","DS1","B08",44840,2e-11,0.958903377226045
"2012-03-24","DS1","B09",44519,2e-12,0.952038792389079
"2012-03-24","DS1","B10",45915,2e-13,0.981892251680059
"2012-03-24","DS1","B11",46586,0,0.996241586339262
"2012-03-24","DS1","C03",16897,2e-06,0.36134233641812
"2012-03-24","DS1","C04",16916,2e-07,0.36174865140847
"2012-03-24","DS1","C05",24735,2e-08,0.528957962437248
"2012-03-24","DS1","C06",45511,2e-09,0.973252711885248
"2012-03-24","DS1","C07",46953,2e-10,1.00408988115287
"2012-03-24","DS1","C08",46340,2e-11,0.990980876464204
"2012-03-24","DS1","C09",45560,2e-12,0.974300576860361
"2012-03-24","DS1","C10",46879,2e-13,1.00250739119045
"2012-03-24","DS1","C11",46671,0,0.998059311296091
"2012-03-24","DS1","D03",15838,2e-06,0.338695621955979
"2012-03-24","DS1","D04",16475,2e-07,0.352317866632451
"2012-03-24","DS1","D05",22635,2e-08,0.484049463503825
"2012-03-24","DS1","D06",44475,2e-09,0.951097852411426
"2012-03-24","DS1","D07",44367,2e-10,0.948788272466279
"2012-03-24","DS1","D08",46032,2e-11,0.984394296620635
"2012-03-24","DS1","D09",45936,2e-12,0.982341336669393
"2012-03-24","DS1","D10",45896,2e-13,0.981485936689709
"2012-03-24","DS1","D11",47902,0,1.02438424567087
"2012-03-24","DS2","E03",24484,2e-06,0.422299934026415
"2012-03-24","DS2","E04",24924,2e-07,0.42988905226574
"2012-03-24","DS2","E05",42709,2e-08,0.736644661098439
"2012-03-24","DS2","E06",60018,2e-09,1.03519022383587
"2012-03-24","DS2","E07",56448,2e-10,0.973614878121348
"2012-03-24","DS2","E08",57695,2e-11,0.995123129131434
"2012-03-24","DS2","E09",55225,2e-12,0.952520579015226
"2012-03-24","DS2","E10",57759,2e-13,0.996227000875336
"2012-03-24","DS2","E11",58485,0,1.00874904597022
"2012-03-24","DS2","F03",23448,2e-06,0.404431010172006
"2012-03-24","DS2","F04",25022,2e-07,0.431579355873589
"2012-03-24","DS2","F05",41689,2e-08,0.719051705180004
"2012-03-24","DS2","F06",63744,2e-09,1.09945625692615
"2012-03-24","DS2","F07",56380,2e-10,0.972442014393453
"2012-03-24","DS2","F08",60137,2e-11,1.03724273535969
"2012-03-24","DS2","F09",58387,2e-12,1.00705874236237
"2012-03-24","DS2","F10",57173,2e-13,0.986119675220235
"2012-03-24","DS2","F11",57827,0,0.997399864603231
"2012-03-24","DS2","G03",22439,2e-06,0.387027782209555
"2012-03-24","DS2","G04",24556,2e-07,0.423541789738305
"2012-03-24","DS2","G05",41262,2e-08,0.71168681088866
"2012-03-24","DS2","G06",60753,2e-09,1.04786750089474
"2012-03-24","DS2","G07",56446,2e-10,0.973580382129351
"2012-03-24","DS2","G08",56902,2e-11,0.981445468304651
"2012-03-24","DS2","G09",55913,2e-12,0.96438720026217
"2012-03-24","DS2","G10",58049,2e-13,1.00122891971489
